estado;dia;quantidaDeCasos
Ceara;30/01/2020;0
Ceara;31/01/2020;0
Ceara;01/02/2020;0
Ceara;02/02/2020;0
Ceara;03/02/2020;0
Ceara;04/02/2020;0
Ceara;05/02/2020;0
Ceara;06/02/2020;0
Ceara;07/02/2020;0
Ceara;08/02/2020;0
Ceara;09/02/2020;0
Ceara;10/02/2020;0
Ceara;11/02/2020;0
Ceara;12/02/2020;0
Ceara;13/02/2020;0
Ceara;14/02/2020;0
Ceara;15/02/2020;0
Ceara;16/02/2020;0
Ceara;17/02/2020;0
Ceara;18/02/2020;0
Ceara;19/02/2020;0
Ceara;20/02/2020;0
Ceara;21/02/2020;0
Ceara;22/02/2020;0
Ceara;23/02/2020;0
Ceara;24/02/2020;0
Ceara;25/02/2020;0
Ceara;26/02/2020;0
Ceara;27/02/2020;0
Ceara;28/02/2020;0
Ceara;29/02/2020;0
Ceara;01/03/2020;0
Ceara;02/03/2020;0
Ceara;03/03/2020;0
Ceara;04/03/2020;0
Ceara;05/03/2020;0
Ceara;06/03/2020;0
Ceara;07/03/2020;0
Ceara;08/03/2020;0
Ceara;09/03/2020;0
Ceara;10/03/2020;0
Ceara;11/03/2020;0
Ceara;12/03/2020;0
Ceara;13/03/2020;0
Ceara;14/03/2020;0
Ceara;15/03/2020;0
Ceara;16/03/2020;0
Ceara;17/03/2020;5
Ceara;18/03/2020;4
Ceara;19/03/2020;11
Ceara;20/03/2020;35
Ceara;21/03/2020;13
Ceara;22/03/2020;44
Ceara;23/03/2020;51
Ceara;24/03/2020;19
Ceara;25/03/2020;18
Ceara;26/03/2020;35
Ceara;27/03/2020;47
Ceara;28/03/2020;32
Ceara;29/03/2020;34
Ceara;30/03/2020;24
Ceara;31/03/2020;18
Ceara;01/04/2020;54
Ceara;02/04/2020;106
Ceara;03/04/2020;77
Ceara;04/04/2020;103
Ceara;05/04/2020;93
Ceara;06/04/2020;190
Ceara;07/04/2020;38
Ceara;08/04/2020;240
Ceara;09/04/2020;134
Ceara;10/04/2020;53
Ceara;11/04/2020;104
Ceara;12/04/2020;94
Ceara;13/04/2020;124
Ceara;14/04/2020;205
Ceara;15/04/2020;152
Ceara;16/04/2020;229
Ceara;17/04/2020;298
Ceara;18/04/2020;350
Ceara;19/04/2020;218
Ceara;20/04/2020;230
RioGrandedoNorte;30/01/2020;0
RioGrandedoNorte;31/01/2020;0
RioGrandedoNorte;01/02/2020;0
RioGrandedoNorte;02/02/2020;0
RioGrandedoNorte;03/02/2020;0
RioGrandedoNorte;04/02/2020;0
RioGrandedoNorte;05/02/2020;0
RioGrandedoNorte;06/02/2020;0
RioGrandedoNorte;07/02/2020;0
RioGrandedoNorte;08/02/2020;0
RioGrandedoNorte;09/02/2020;0
RioGrandedoNorte;10/02/2020;0
RioGrandedoNorte;11/02/2020;0
RioGrandedoNorte;12/02/2020;0
RioGrandedoNorte;13/02/2020;0
RioGrandedoNorte;14/02/2020;0
RioGrandedoNorte;15/02/2020;0
RioGrandedoNorte;16/02/2020;0
RioGrandedoNorte;17/02/2020;0
RioGrandedoNorte;18/02/2020;0
RioGrandedoNorte;19/02/2020;0
RioGrandedoNorte;20/02/2020;0
RioGrandedoNorte;21/02/2020;0
RioGrandedoNorte;22/02/2020;0
RioGrandedoNorte;23/02/2020;0
RioGrandedoNorte;24/02/2020;0
RioGrandedoNorte;25/02/2020;0
RioGrandedoNorte;26/02/2020;0
RioGrandedoNorte;27/02/2020;0
RioGrandedoNorte;28/02/2020;0
RioGrandedoNorte;29/02/2020;0
RioGrandedoNorte;01/03/2020;0
RioGrandedoNorte;02/03/2020;0
RioGrandedoNorte;03/03/2020;0
RioGrandedoNorte;04/03/2020;0
RioGrandedoNorte;05/03/2020;0
RioGrandedoNorte;06/03/2020;0
RioGrandedoNorte;07/03/2020;0
RioGrandedoNorte;08/03/2020;0
RioGrandedoNorte;09/03/2020;0
RioGrandedoNorte;10/03/2020;0
RioGrandedoNorte;11/03/2020;0
RioGrandedoNorte;12/03/2020;0
RioGrandedoNorte;13/03/2020;1
RioGrandedoNorte;14/03/2020;0
RioGrandedoNorte;15/03/2020;0
RioGrandedoNorte;16/03/2020;0
RioGrandedoNorte;17/03/2020;0
RioGrandedoNorte;18/03/2020;0
RioGrandedoNorte;19/03/2020;0
RioGrandedoNorte;20/03/2020;0
RioGrandedoNorte;21/03/2020;5
RioGrandedoNorte;22/03/2020;3
RioGrandedoNorte;23/03/2020;4
RioGrandedoNorte;24/03/2020;0
RioGrandedoNorte;25/03/2020;1
RioGrandedoNorte;26/03/2020;5
RioGrandedoNorte;27/03/2020;9
RioGrandedoNorte;28/03/2020;17
RioGrandedoNorte;29/03/2020;23
RioGrandedoNorte;30/03/2020;9
RioGrandedoNorte;31/03/2020;5
RioGrandedoNorte;01/04/2020;10
RioGrandedoNorte;02/04/2020;13
RioGrandedoNorte;03/04/2020;71
RioGrandedoNorte;04/04/2020;36
RioGrandedoNorte;05/04/2020;30
RioGrandedoNorte;06/04/2020;4
RioGrandedoNorte;07/04/2020;8
RioGrandedoNorte;08/04/2020;7
RioGrandedoNorte;09/04/2020;0
RioGrandedoNorte;10/04/2020;2
RioGrandedoNorte;11/04/2020;26
RioGrandedoNorte;12/04/2020;13
RioGrandedoNorte;13/04/2020;37
RioGrandedoNorte;14/04/2020;37
RioGrandedoNorte;15/04/2020;23
RioGrandedoNorte;16/04/2020;1
RioGrandedoNorte;17/04/2020;63
RioGrandedoNorte;18/04/2020;53
RioGrandedoNorte;19/04/2020;15
RioGrandedoNorte;20/04/2020;64
Paraiba;30/01/2020;0
Paraiba;31/01/2020;0
Paraiba;01/02/2020;0
Paraiba;02/02/2020;0
Paraiba;03/02/2020;0
Paraiba;04/02/2020;0
Paraiba;05/02/2020;0
Paraiba;06/02/2020;0
Paraiba;07/02/2020;0
Paraiba;08/02/2020;0
Paraiba;09/02/2020;0
Paraiba;10/02/2020;0
Paraiba;11/02/2020;0
Paraiba;12/02/2020;0
Paraiba;13/02/2020;0
Paraiba;14/02/2020;0
Paraiba;15/02/2020;0
Paraiba;16/02/2020;0
Paraiba;17/02/2020;0
Paraiba;18/02/2020;0
Paraiba;19/02/2020;0
Paraiba;20/02/2020;0
Paraiba;21/02/2020;0
Paraiba;22/02/2020;0
Paraiba;23/02/2020;0
Paraiba;24/02/2020;0
Paraiba;25/02/2020;0
Paraiba;26/02/2020;0
Paraiba;27/02/2020;0
Paraiba;28/02/2020;0
Paraiba;29/02/2020;0
Paraiba;01/03/2020;0
Paraiba;02/03/2020;0
Paraiba;03/03/2020;0
Paraiba;04/03/2020;0
Paraiba;05/03/2020;0
Paraiba;06/03/2020;0
Paraiba;07/03/2020;0
Paraiba;08/03/2020;0
Paraiba;09/03/2020;0
Paraiba;10/03/2020;0
Paraiba;11/03/2020;0
Paraiba;12/03/2020;0
Paraiba;13/03/2020;0
Paraiba;14/03/2020;0
Paraiba;15/03/2020;0
Paraiba;16/03/2020;0
Paraiba;17/03/2020;0
